[INFO] [launch]: All log files can be found below /home/pi/.ros/log/2024-11-27-14-03-44-889704-drone-home-86703
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [imu_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [visualization-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [static_transform_publisher-6]: there are now at least 2 nodes with the name /drone_home1/static_transform_publisher created within this launch context
[INFO] [controller-1]: process started with pid [86710]
[INFO] [imu_publisher-2]: process started with pid [86711]
[INFO] [drive_hardware-3]: process started with pid [86712]
[INFO] [visualization-4]: process started with pid [86713]
[INFO] [static_transform_publisher-5]: process started with pid [86714]
[INFO] [static_transform_publisher-6]: process started with pid [86715]
[static_transform_publisher-5] [WARN] [1732734225.060474606] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-6] [WARN] [1732734225.071681625] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-5] [INFO] [1732734225.108093707] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-5] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-5] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-5] from 'map' to 'imu_frame'
[static_transform_publisher-6] [INFO] [1732734225.117564086] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-6] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-6] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-6] from 'map' to 'gps_sensor'
[drive_hardware-3] /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
[drive_hardware-3]   warnings.warn(PWMSoftwareFallback(
[drive_hardware-3] [INFO] [1732734235.535843401] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.586000971] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.635669339] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.685590633] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.735848628] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.785738069] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.835772565] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.885666062] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.935653189] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.985536334] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.035747218] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.085726233] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.135727618] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.185734782] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.235600334] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.285702960] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.335735363] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.385681675] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.435691190] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.485581613] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.535755720] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.585754623] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.635645565] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.685601006] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.735519818] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.785584925] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.835669476] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.885688936] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.935726321] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734236.985716095] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734237.035568722] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734237.085734736] [drone_home1.sim]: Angle set: -37.65951498895634
[drive_hardware-3] [INFO] [1732734237.135747603] [drone_home1.sim]: Angle set: -27.21135754011491
[drive_hardware-3] [INFO] [1732734237.185737451] [drone_home1.sim]: Angle set: -18.43569143786158
[drive_hardware-3] [INFO] [1732734237.235654652] [drone_home1.sim]: Angle set: -7.805136348555894
[drive_hardware-3] [INFO] [1732734237.285749055] [drone_home1.sim]: Angle set: 2.887446463367023
[drive_hardware-3] [INFO] [1732734237.335738737] [drone_home1.sim]: Angle set: 12.83589083738763
