[drive_publisher-1] [INFO] [1732662835.313507527] [drone_home1.sim]: Sent: -0.2083211963625816, -0.5
[drive_publisher-1] [INFO] [1732662835.333452458] [drone_home1.sim]: Sent: -0.2472269526234939, -0.5
[drive_publisher-1] [INFO] [1732662835.345291124] [drone_home1.sim]: Sent: -0.29910132551362933, -0.5
[drive_publisher-1] [INFO] [1732662835.361319598] [drone_home1.sim]: Sent: -0.33800708177454164, -0.5
[drive_publisher-1] [INFO] [1732662835.381205733] [drone_home1.sim]: Sent: -0.37691283803545395, -0.5
[drive_publisher-1] [INFO] [1732662835.397334041] [drone_home1.sim]: Sent: -0.4028500010738324, -0.5
[drive_publisher-1] [INFO] [1732662835.407725616] [drone_home1.sim]: Sent: -0.43527149583351166, -0.5
[drive_publisher-1] [INFO] [1732662835.425424236] [drone_home1.sim]: Sent: -0.46120868227857936, -0.5
[drive_publisher-1] [INFO] [1732662835.449820808] [drone_home1.sim]: Sent: -0.5001144385394917, -0.5
[drive_publisher-1] [INFO] [1732662835.457569295] [drone_home1.sim]: Sent: -0.5195673166699478, -0.5
[drive_publisher-1] [INFO] [1732662835.473423677] [drone_home1.sim]: Sent: -0.5519888114296271, -0.5
[drive_publisher-1] [INFO] [1732662835.493496386] [drone_home1.sim]: Sent: -0.5714416895600832, -0.5
[drive_publisher-1] [INFO] [1732662835.505558737] [drone_home1.sim]: Sent: -0.5973788291917724, -0.5
[drive_publisher-1] [INFO] [1732662835.519681121] [drone_home1.sim]: Sent: -0.6168317073222286, -0.5
[drive_publisher-1] [INFO] [1732662835.535374448] [drone_home1.sim]: Sent: -0.6362846322660632, -0.5
[drive_publisher-1] [INFO] [1732662835.553785418] [drone_home1.sim]: Sent: -0.6557375103965194, -0.5
[drive_publisher-1] [INFO] [1732662835.570354947] [drone_home1.sim]: Sent: -0.668706080212364, -0.5
[drive_publisher-1] [INFO] [1732662835.586431218] [drone_home1.sim]: Sent: -0.6881589583428201, -0.5
[drive_publisher-1] [INFO] [1732662835.601502693] [drone_home1.sim]: Sent: -0.7076118364732763, -0.5
[drive_publisher-1] [INFO] [1732662835.617445742] [drone_home1.sim]: Sent: -0.7140961447878879, -0.5
[drive_publisher-1] [INFO] [1732662835.635475250] [drone_home1.sim]: Sent: -0.733549022918344, -0.5
[drive_publisher-1] [INFO] [1732662835.649573227] [drone_home1.sim]: Sent: -0.7465175927341886, -0.5
[drive_publisher-1] [INFO] [1732662835.665430961] [drone_home1.sim]: Sent: -0.7659705176780234, -0.5
[drive_publisher-1] [INFO] [1732662835.686148224] [drone_home1.sim]: Sent: -0.7724547791792563, -0.5
[drive_publisher-1] [INFO] [1732662835.701377107] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662835.796252528] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662835.897653347] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.014056178] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.109931393] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.202011966] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.306330112] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.448062790] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.450960026] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.502126073] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.650318759] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.652492959] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.848306198] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.853811152] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662836.901383371] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.053804420] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.102624248] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.258235976] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.260340306] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.305414325] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.465616953] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.467979505] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.502302523] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.671552025] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.673468818] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.751734931] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.873952066] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662837.905718236] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662838.077958973] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662838.104140597] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662838.159788302] [drone_home1.sim]: Sent: -0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662838.285857559] [drone_home1.sim]: Sent: -0.7659705176780234, -0.5
[drive_publisher-1] [INFO] [1732662838.287870981] [drone_home1.sim]: Sent: -0.733549022918344, -0.5
[drive_publisher-1] [INFO] [1732662838.290290700] [drone_home1.sim]: Sent: -0.7076118364732763, -0.5
[drive_publisher-1] [INFO] [1732662838.293062380] [drone_home1.sim]: Sent: -0.668706080212364, -0.5
[drive_publisher-1] [INFO] [1732662838.295688172] [drone_home1.sim]: Sent: -0.6298003239514517, -0.5
[drive_publisher-1] [INFO] [1732662838.299782517] [drone_home1.sim]: Sent: -0.5973788291917724, -0.5
[drive_publisher-1] [INFO] [1732662838.302637513] [drone_home1.sim]: Sent: -0.5584730729308601, -0.5
[drive_publisher-1] [INFO] [1732662838.309306539] [drone_home1.sim]: Sent: -0.5195673166699478, -0.5
[drive_publisher-1] [INFO] [1732662838.323468997] [drone_home1.sim]: Sent: -0.47417725209442396, -0.5
[drive_publisher-1] [INFO] [1732662838.341927485] [drone_home1.sim]: Sent: -0.43527149583351166, -0.5
[drive_publisher-1] [INFO] [1732662838.357318423] [drone_home1.sim]: Sent: -0.39636573957259935, -0.5
[drive_publisher-1] [INFO] [1732662838.373289990] [drone_home1.sim]: Sent: -0.34449136668246394, -0.5
[drive_publisher-1] [INFO] [1732662838.489712299] [drone_home1.sim]: Sent: -0.30558561042155163, -0.5
[drive_publisher-1] [INFO] [1732662838.492053684] [drone_home1.sim]: Sent: -0.2601955458460277, -0.5
[drive_publisher-1] [INFO] [1732662838.495704641] [drone_home1.sim]: Sent: -0.22128978958511544, -0.5
[drive_publisher-1] [INFO] [1732662838.497822397] [drone_home1.sim]: Sent: -0.18238402162085848, -0.5
[drive_publisher-1] [INFO] [1732662838.499854486] [drone_home1.sim]: Sent: -0.14996255026786848, -0.5
[drive_publisher-1] [INFO] [1732662838.502182834] [drone_home1.sim]: Sent: -0.11105678230361155, -0.5
[drive_publisher-1] [INFO] [1732662838.503809905] [drone_home1.sim]: Sent: -0.08511960756188847, -0.5
[drive_publisher-1] [INFO] [1732662838.505775273] [drone_home1.sim]: Sent: -0.052698136208898454, -0.5
[drive_publisher-1] [INFO] [1732662838.513475149] [drone_home1.sim]: Sent: -0.033245255152606144, -0.5
[drive_publisher-1] [INFO] [1732662838.528258125] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662838.697087644] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662838.700038399] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662838.771775114] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662838.914553584] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662838.918617596] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662838.936450511] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.149793253] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.151913731] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.190123853] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.323935336] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.381885759] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.518649886] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.581482190] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.589795380] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662839.683001763] [drone_home1.sim]: Sent: 0.0, -0.5
